Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
1;Comcast_semimcfraekeft-TBE-Comcast-background-1.3_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];2.216209;0.490014;0.509885;1;1.5734849;
1;Comcast_semimcfraekeft-TBE-Comcast-background-0.2_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];0.371678;0.0;0.999866;1;0.2420746;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.4_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];22;0;[];1.981809;0.27334;0.72632;1;0.6533384;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.8_2__-mcf;1;Comcast_mcf-greylambda-Comcast-background-0.1_2__-mcf;2;Comcast_mcf-greylambda-Comcast-background-1.0_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];8;0;[];0.871232;0.0;1.0;1;1.210373;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.6_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];1.596755;0.269985;0.730015;1;0.9800076;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.9_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];76;0;[];4.455458;0.575534;0.424353;1;1.4700114;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.7_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];3.376536;0.492892;0.507054;1;1.1433422;
1;Comcast_mcf-TE-Comcast-background-1.1_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];nan;0.0;0.0;1;1.3314103;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-0.3_0__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-1.5_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];110;0;[];7.481415;0.732701;0.267172;1;2.450019;
1;Comcast_semimcfraekeft-TE-Comcast-background-0.8_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.157712;0.076962;0.922985;1;0.9682984;
1;Comcast_semimcfraekeft-TE-Comcast-background-1.2_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.750359;0.348752;0.651092;1;1.4524476;
1;Comcast_mcf-TE-Comcast-background-0.3_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.3;0.0;1.0;1;0.3631119;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-1.2_2__-mcf;1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.5_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];2.405517;0.334638;0.665254;1;0.816673;
1;Comcast_mcf-TBE-Comcast-background-0.7_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];0.875;0.0;1.0;1;0.8472610999999999;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.8_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];3.691942;0.550452;0.449482;1;1.3066768;
